DateTime;NAV officielle
26/10/2015;13,4522
27/10/2015;13,3305
28/10/2015;13,4143
29/10/2015;13,4286
30/10/2015;13,4003
02/11/2015;13,5287
03/11/2015;13,6004
04/11/2015;13,7500
05/11/2015;13,8530
06/11/2015;13,7945
09/11/2015;13,6480
10/11/2015;13,7795
11/11/2015;13,7664
12/11/2015;13,5648
13/11/2015;13,5384
16/11/2015;13,6777
17/11/2015;13,8739
18/11/2015;13,9932
19/11/2015;13,9909
23/11/2015;14,0777
24/11/2015;13,9376
25/11/2015;14,0381
26/11/2015;14,1095
27/11/2015;14,2021
30/11/2015;14,1643
01/12/2015;14,1882
02/12/2015;14,0995
03/12/2015;13,6586
04/12/2015;13,7024
07/12/2015;13,7267
08/12/2015;13,5235
09/12/2015;13,4030
10/12/2015;13,3769
11/12/2015;13,1943
14/12/2015;13,2265
15/12/2015;13,3054
16/12/2015;13,4217
17/12/2015;13,4157
18/12/2015;13,2103
21/12/2015;13,0767
22/12/2015;13,0536
23/12/2015;13,3454
24/12/2015;13,3124
28/12/2015;13,3030
29/12/2015;13,4677
30/12/2015;13,4276
31/12/2015;13,3602
04/01/2016;13,2457
05/01/2016;13,3429
06/01/2016;13,1531
07/01/2016;12,7921
08/01/2016;12,6180
11/01/2016;12,5788
12/01/2016;12,6561
13/01/2016;12,6151
14/01/2016;12,5791
15/01/2016;12,2952
18/01/2016;12,3333
19/01/2016;12,3817
20/01/2016;12,1670
21/01/2016;12,2288
22/01/2016;12,6009
25/01/2016;12,5939
26/01/2016;12,7171
27/01/2016;12,7498
28/01/2016;12,6934
29/01/2016;13,0897
01/02/2016;13,1510
02/02/2016;12,9333
03/02/2016;12,8161
04/02/2016;12,7488
05/02/2016;12,5945
08/02/2016;12,3842
09/02/2016;12,2990
10/02/2016;12,3779
11/02/2016;12,0852
12/02/2016;12,2672
15/02/2016;12,5834
16/02/2016;12,6326
17/02/2016;12,7590
18/02/2016;12,9192
19/02/2016;12,8485
22/02/2016;13,1018
23/02/2016;13,0287
24/02/2016;12,9584
25/02/2016;13,0468
26/02/2016;13,0299
29/02/2016;13,0323
01/03/2016;13,2117
02/03/2016;13,4026
03/03/2016;13,3076
04/03/2016;13,2714
07/03/2016;13,3272
08/03/2016;13,1562
09/03/2016;13,1963
10/03/2016;13,0259
11/03/2016;13,1906
14/03/2016;13,2626
15/03/2016;13,1852
16/03/2016;13,2633
17/03/2016;13,3090
18/03/2016;13,3024
21/03/2016;13,3305
22/03/2016;13,3357
23/03/2016;13,3185
24/03/2016;13,2817
28/03/2016;13,2659
29/03/2016;13,4675
30/03/2016;13,4260
31/03/2016;13,3619
01/04/2016;13,2967
04/04/2016;13,2634
05/04/2016;13,1077
06/04/2016;13,1942
07/04/2016;13,2033
08/04/2016;13,3071
11/04/2016;13,2909
12/04/2016;13,4452
